Finding_ID,Title,Severity,Status,Date_Identified,Target_Remediation_Date,Closed_Date,Owner,Region,Business,Risk_Category,Analyst,Analyst_Received_Date,Analyst_Decision,Analyst_Decision_Date,Second_Line_Review_Date,Second_Line_Result,Last_Update_Date,Last_Update_Status,Last_Update_Note
F-1011,Vendor SOC1/SOC2 exceptions not tracked - Acme Cloud Services,High,Closed,2025-09-14,2025-10-29,2025-12-13,K. Brooks,US,Enterprise,Third Party Risk,E. Marsh,2025-09-14,Approved - Sent to 2LOD,2025-09-16,2025-09-18,Pass,,,
F-1012,Payment gateway logging incomplete - Wire Transfer Platform,Low,In Remediation,2026-06-13,2026-10-30,,A. Kowalski,US,Payments,Application Security,E. Marsh,2026-06-16,Approved,2026-06-18,,,2026-07-30,On Track,
F-1013,Public cloud storage bucket exposure - App-2210,High,Overdue,2025-03-28,2026-04-16,,L. Farrow,EMEA,Retail Banking,Cloud Security,V. Kowalczyk,2025-03-31,Rejected - Returned to Owner,2025-04-06,,,2026-07-18,On Track,
F-1014,End-of-life software still in use - CW-118,Medium,In Remediation,2025-05-12,2026-12-01,,T. Nguyen,US,Retail Banking,Patch Management,O. Adeyemi,2025-05-15,Approved,2025-05-18,,,2026-07-30,Off Track,Patching has been delayed due to an application compatibility test that failed in the last cycle. The vendor has been engaged to provide an updated patch.
F-1015,Public cloud storage bucket exposure - Core Banking Platform,High,Open,2026-06-14,2026-08-04,,D. Whitfield,EMEA,Retail Banking,Cloud Security,V. Kowalczyk,2026-06-17,Approved - Sent to 2LOD,2026-06-20,2026-06-21,Fail,2026-08-01,On Track,
F-1016,Stale firewall rules - CRM-Retail segment,Medium,Overdue,2025-04-12,2026-05-29,,A. Kowalski,US,Enterprise,Network Security,F. Nakamura,2026-06-22,,,,,2026-07-22,Off Track,Firewall rule remediation requires a change window that has been delayed twice due to competing priorities. The next available change window is being scheduled with network operations.
F-1017,Insecure API endpoint identified - DataLake-EMEA,Medium,Closed,2025-10-30,2026-01-21,2026-03-04,T. Nguyen,EMEA,Enterprise,Application Security,O. Adeyemi,2025-10-31,Approved,2025-11-04,,,,,
F-1018,Unencrypted data at rest - Payments Gateway,Low,Open,2025-09-07,2026-11-09,,D. Whitfield,US,Technology Infrastructure,Data Protection,B. Torres,2026-07-14,,,,,2026-07-26,On Track,
F-1019,Stale user access not deprovisioned - App-3391,Medium,Open,2025-05-30,2026-09-10,,M. Chen,US,Payments,Access Management,F. Nakamura,2025-06-02,Approved,2025-06-06,,,2026-07-21,On Track,
F-1020,Critical vulnerability unpatched - App-4470,High,Closed,2025-05-06,2025-07-10,2025-06-05,D. Whitfield,EMEA,Technology Infrastructure,Patch Management,B. Torres,2025-05-06,Approved - Sent to 2LOD,2025-05-22,2025-05-23,Fail,,,
F-1021,Patch compliance gap - Treasury-Sys,Medium,Open,2025-05-26,2026-07-21,,D. Whitfield,EMEA,Technology Infrastructure,Patch Management,O. Adeyemi,2026-05-23,,,,,2026-07-19,On Track,
F-1022,Stale user access not deprovisioned - Mobile Banking App,Low,Overdue,2026-01-29,2026-06-19,,T. Nguyen,US,Technology Infrastructure,Access Management,O. Adeyemi,2026-04-24,,,,,2026-07-22,On Track,
F-1023,Unsegmented network zone - App-5581,Low,Closed,2026-03-29,2026-07-24,2026-06-24,J. Alvarez,US,Payments,Network Security,V. Kowalczyk,2026-03-30,Approved,2026-04-03,,,,,
F-1024,Vendor SOC1/SOC2 exceptions not tracked - Vantage Processing,Low,In Remediation,2025-09-22,2026-08-13,,D. Whitfield,EMEA,Payments,Third Party Risk,O. Adeyemi,2026-05-03,,,,,2026-07-17,Off Track,The vendor has not yet returned the updated assurance report needed to close this item. Escalation to vendor management is in progress to expedite the response.
F-1025,Cloud IAM policy too permissive - App-2210,High,Closed,2025-05-30,2025-08-11,2025-09-14,A. Kowalski,EMEA,Technology Infrastructure,Cloud Security,B. Torres,2025-06-02,Rejected - Returned to Owner,2025-06-17,,,,,
F-1026,Application code scan findings unresolved - CW-118,Medium,Closed,2026-03-02,2026-05-28,2026-04-23,K. Brooks,EMEA,Technology Infrastructure,Application Security,O. Adeyemi,2026-03-05,Approved,2026-03-09,,,,,
F-1027,Data retention policy gap - Core Banking Platform,High,In Remediation,2025-12-05,2026-09-14,,K. Brooks,EMEA,Technology Infrastructure,Data Protection,O. Adeyemi,2026-07-01,,,,,2026-08-01,On Track,
F-1028,Open ports identified on CRM-Retail,Medium,Closed,2025-02-01,2025-05-05,2025-05-20,P. Singh,EMEA,Retail Banking,Network Security,E. Marsh,2025-02-04,Approved,2025-02-08,,,,,
F-1029,Vendor contract missing security addendum - Vantage Processing,Medium,Closed,2025-11-18,2026-02-22,2026-04-19,D. Whitfield,US,Technology Infrastructure,Third Party Risk,F. Nakamura,2025-11-20,Approved,2025-11-25,,,,,
F-1030,Stale firewall rules - Payments Gateway segment,Low,Open,2025-04-16,2026-10-24,,J. Alvarez,US,Retail Banking,Network Security,V. Kowalczyk,2025-04-16,Approved,2025-04-23,,,2026-07-30,On Track,
