Master_ID,Source_System,Source_ID,Title,Severity_Rating,Status,Owner,Region,Business,Risk_Category,Date_Identified,Due_Date,Closed_Date,Last_Update_Date,Last_Update_Status,Last_Update_Note,As_Of_Date
M-0023,Findings,F-1023,Unsegmented network zone - App-5581,Low,Closed,J. Alvarez,US,Payments,Network Security,2026-03-29,2026-07-24,2026-06-24,,,,2026-08-02
M-0024,Findings,F-1024,Vendor SOC1/SOC2 exceptions not tracked - Vantage Processing,Low,In Remediation,D. Whitfield,EMEA,Payments,Third Party Risk,2025-09-22,2026-08-13,,2026-07-17,Off Track,The vendor has not yet returned the updated assurance report needed to close this item. Escalation to vendor management is in progress to expedite the response.,2026-08-02
M-0025,Findings,F-1025,Cloud IAM policy too permissive - App-2210,High,Closed,A. Kowalski,EMEA,Technology Infrastructure,Cloud Security,2025-05-30,2025-08-11,2025-09-14,,,,2026-08-02
M-0026,Findings,F-1026,Application code scan findings unresolved - CW-118,Medium,Closed,K. Brooks,EMEA,Technology Infrastructure,Application Security,2026-03-02,2026-05-28,2026-04-23,,,,2026-08-02
M-0027,Findings,F-1027,Data retention policy gap - Core Banking Platform,High,In Remediation,K. Brooks,EMEA,Technology Infrastructure,Data Protection,2025-12-05,2026-09-14,,2026-08-01,On Track,,2026-08-02
M-0028,Findings,F-1028,Open ports identified on CRM-Retail,Medium,Closed,P. Singh,EMEA,Retail Banking,Network Security,2025-02-01,2025-05-05,2025-05-20,,,,2026-08-02
M-0029,Findings,F-1029,Vendor contract missing security addendum - Vantage Processing,Medium,Closed,D. Whitfield,US,Technology Infrastructure,Third Party Risk,2025-11-18,2026-02-22,2026-04-19,,,,2026-08-02
M-0030,Findings,F-1030,Stale firewall rules - Payments Gateway segment,Low,Open,J. Alvarez,US,Retail Banking,Network Security,2025-04-16,2026-10-24,,2026-07-30,On Track,,2026-08-02
M-0031,Enterprise Issues,EI-0501,Control procedure out of date - App-2210,Low,Closed,S. Patel,US,Payments,Governance & Documentation,2026-07-19,2026-11-13,2026-10-04,,,,2026-08-02
M-0032,Enterprise Issues,EI-0502,Insecure API endpoint identified - CW-118,High,In Remediation,A. Kowalski,US,Enterprise,Application Security,2025-07-05,2026-08-09,,2026-07-28,Off Track,The required code fix is more complex than originally scoped and has been re-prioritized into the next development sprint. Delivery is now expected in the following release cycle.,2026-08-02
M-0033,Enterprise Issues,EI-0503,Third-party penetration test overdue - NorthBridge Tech,Medium,Overdue,L. Farrow,US,Retail Banking,Third Party Risk,2026-06-04,2026-06-19,,2026-07-28,On Track,,2026-08-02
M-0034,Enterprise Issues,EI-0504,Third-party penetration test overdue - Vantage Processing,Medium,Open,T. Nguyen,EMEA,Retail Banking,Third Party Risk,2026-06-13,2026-10-27,,2026-07-20,On Track,,2026-08-02
M-0035,Enterprise Issues,EI-0505,Privileged access review overdue - DataLake-EMEA,Low,Closed,P. Singh,US,Technology Infrastructure,Access Management,2026-04-15,2026-08-04,2026-06-28,,,,2026-08-02
M-0036,Enterprise Issues,EI-0506,Insecure API endpoint identified - Payments Gateway,High,Open,L. Farrow,EMEA,Retail Banking,Application Security,2025-10-17,2026-07-15,,2026-07-26,Off Track,The required code fix is more complex than originally scoped and has been re-prioritized into the next development sprint. Delivery is now expected in the following release cycle.,2026-08-02
M-0037,Enterprise Issues,EI-0507,Missing MFA on privileged accounts - App-3391,Low,Closed,T. Nguyen,US,Technology Infrastructure,Access Management,2025-07-07,2025-11-14,2025-12-29,,,,2026-08-02
M-0038,Enterprise Issues,EI-0508,End-of-life software still in use - App-4470,Medium,In Remediation,R. Osei,US,Enterprise,Patch Management,2025-12-16,2026-10-31,,2026-07-27,On Track,,2026-08-02
M-0039,Enterprise Issues,EI-0509,Vendor SOC1/SOC2 exceptions not tracked - Vantage Processing,High,Open,S. Patel,US,Technology Infrastructure,Third Party Risk,2026-01-22,2026-09-18,,2026-07-15,On Track,,2026-08-02
M-0040,Enterprise Issues,EI-0510,Sensitive data exposure in application logs - Mobile Banking App,Low,Closed,K. Brooks,EMEA,Enterprise,Data Protection,2026-04-22,2026-09-10,2026-08-02,,,,2026-08-02
M-0041,Enterprise Issues,EI-0511,Control procedure out of date - App-5581,Medium,Open,L. Farrow,EMEA,Payments,Governance & Documentation,2025-10-10,2026-12-02,,2026-07-27,On Track,,2026-08-02
M-0042,Enterprise Issues,EI-0512,Unsegmented network zone - Wire Transfer Platform,Low,In Remediation,T. Nguyen,EMEA,Payments,Network Security,2026-01-15,2026-07-26,,2026-07-28,Off Track,Firewall rule remediation requires a change window that has been delayed twice due to competing priorities. The next available change window is being scheduled with network operations.,2026-08-02
M-0043,Enterprise Issues,EI-0513,Risk acceptance missing formal approval - App-2210,High,Open,D. Whitfield,EMEA,Technology Infrastructure,Governance & Documentation,2025-05-07,2026-10-11,,2026-07-26,On Track,,2026-08-02
M-0044,Enterprise Issues,EI-0514,Insecure API endpoint identified - CW-118,High,Closed,D. Whitfield,EMEA,Payments,Application Security,2025-10-16,2025-12-07,2025-11-21,,,,2026-08-02
M-0045,Enterprise Issues,EI-0515,Stale firewall rules - Core Banking Platform segment,Medium,In Remediation,T. Nguyen,EMEA,Payments,Network Security,2025-11-17,2026-08-08,,2026-08-01,On Track,,2026-08-02
M-0046,Enterprise Issues,EI-0516,Critical vulnerability unpatched - CRM-Retail,Low,Overdue,R. Osei,EMEA,Technology Infrastructure,Patch Management,2025-02-13,2026-03-28,,2026-07-20,Off Track,Patching has been delayed due to an application compatibility test that failed in the last cycle. The vendor has been engaged to provide an updated patch.,2026-08-02
M-0047,Enterprise Issues,EI-0517,Application criticality tier undocumented - DataLake-EMEA,High,Overdue,M. Chen,EMEA,Retail Banking,Governance & Documentation,2025-04-17,2026-06-20,,2026-07-24,On Track,,2026-08-02
M-0048,Enterprise Issues,EI-0518,Cloud IAM policy too permissive - Payments Gateway,High,Closed,P. Singh,US,Retail Banking,Cloud Security,2026-05-08,2026-07-21,2026-07-18,,,,2026-08-02
M-0049,Enterprise Issues,EI-0519,Missing MFA on privileged accounts - App-3391,High,Open,T. Nguyen,US,Payments,Access Management,2025-04-25,2026-09-07,,2026-07-29,Off Track,"Remediation is delayed because the new privileged access management tooling has not yet completed procurement. Implementation is expected to begin within 4-6 weeks, which will push the original target date.",2026-08-02
M-0050,Enterprise Issues,EI-0520,Third-party penetration test overdue - Meridian Data Solutions,High,Open,S. Patel,EMEA,Technology Infrastructure,Third Party Risk,2025-09-28,2026-11-26,,2026-08-01,On Track,,2026-08-02
M-0051,Enterprise Issues,EI-0521,Stale firewall rules - Treasury-Sys segment,Low,Closed,J. Alvarez,US,Payments,Network Security,2025-11-23,2026-04-01,2026-05-19,,,,2026-08-02
M-0052,Enterprise Issues,EI-0522,Control procedure out of date - Mobile Banking App,Low,Closed,M. Chen,US,Retail Banking,Governance & Documentation,2025-12-28,2026-04-08,2026-03-10,,,,2026-08-02
M-0053,Enterprise Issues,EI-0523,Stale user access not deprovisioned - App-5581,Low,Open,P. Singh,US,Enterprise,Access Management,2026-05-28,2026-08-21,,2026-07-30,On Track,,2026-08-02
M-0054,Enterprise Issues,EI-0524,Public cloud storage bucket exposure - Wire Transfer Platform,Medium,Closed,K. Brooks,US,Enterprise,Cloud Security,2026-01-04,2026-04-20,2026-06-03,,,,2026-08-02
M-0055,Internal Audit,IA-2201,Risk acceptance missing formal approval - App-2210,Medium,Open,D. Whitfield,US,Enterprise,Governance & Documentation,2025-11-01,2026-09-24,,2026-07-15,On Track,,2026-08-02
M-0056,Internal Audit,IA-2202,Vendor contract missing security addendum - SecureAudit Partners,Low,Closed,R. Osei,EMEA,Technology Infrastructure,Third Party Risk,2026-03-25,2026-07-10,2026-07-29,,,,2026-08-02
M-0057,Internal Audit,IA-2203,Unsegmented network zone - Core Banking Platform,Low,Open,S. Patel,EMEA,Retail Banking,Network Security,2026-06-10,2026-09-14,,2026-07-31,On Track,,2026-08-02
M-0058,Internal Audit,IA-2204,Stale firewall rules - CRM-Retail segment,Medium,Open,S. Patel,EMEA,Payments,Network Security,2026-07-05,2026-10-28,,2026-07-30,On Track,,2026-08-02
M-0059,Internal Audit,IA-2205,Risk acceptance missing formal approval - DataLake-EMEA,Low,Closed,D. Whitfield,EMEA,Payments,Governance & Documentation,2026-02-22,2026-06-14,2026-08-02,,,,2026-08-02
M-0060,Internal Audit,IA-2206,Cloud config drift - Payments Gateway storage,High,In Remediation,L. Farrow,US,Payments,Cloud Security,2026-05-31,2026-11-20,,2026-07-16,On Track,,2026-08-02
M-0061,Internal Audit,IA-2207,Payment gateway logging incomplete - App-3391,High,In Remediation,D. Whitfield,US,Retail Banking,Application Security,2025-02-16,2026-11-20,,2026-07-23,Off Track,The required code fix is more complex than originally scoped and has been re-prioritized into the next development sprint. Delivery is now expected in the following release cycle.,2026-08-02
M-0062,Internal Audit,IA-2208,Cloud IAM policy too permissive - App-4470,High,Closed,M. Chen,EMEA,Retail Banking,Cloud Security,2025-12-22,2026-02-25,2026-01-20,,,,2026-08-02
M-0063,Internal Audit,IA-2209,Vendor contract missing security addendum - Vantage Processing,Medium,Open,S. Patel,US,Technology Infrastructure,Third Party Risk,2026-04-21,2026-08-12,,2026-07-16,On Track,,2026-08-02
M-0064,Internal Audit,IA-2210,Stale user access not deprovisioned - Mobile Banking App,High,Open,K. Brooks,EMEA,Retail Banking,Access Management,2025-06-30,2026-10-27,,2026-07-20,On Track,,2026-08-02
M-0065,Internal Audit,IA-2211,Cloud IAM policy too permissive - App-5581,High,Overdue,T. Nguyen,EMEA,Enterprise,Cloud Security,2025-09-26,2026-05-24,,2026-07-29,Off Track,"Remediation requires a broader review of the cloud landing zone configuration standard, which is still in progress. An interim compensating control has been implemented in the meantime.",2026-08-02
M-0066,Internal Audit,IA-2212,Stale firewall rules - Wire Transfer Platform segment,Low,In Remediation,D. Whitfield,EMEA,Payments,Network Security,2026-04-11,2026-11-26,,2026-07-30,On Track,,2026-08-02
M-0067,Internal Audit,IA-2213,Cloud IAM policy too permissive - App-2210,High,Closed,K. Brooks,EMEA,Payments,Cloud Security,2025-02-23,2025-05-05,2025-03-27,,,,2026-08-02
M-0068,Internal Audit,IA-2214,Privileged access review overdue - CW-118,Medium,Closed,S. Patel,US,Payments,Access Management,2025-09-13,2025-12-09,2025-12-01,,,,2026-08-02
M-0069,Internal Audit,IA-2215,Open ports identified on Core Banking Platform,Medium,RNV,M. Chen,US,Payments,Network Security,2026-04-28,2026-07-24,,2026-07-24,Off Track,Firewall rule remediation requires a change window that has been delayed twice due to competing priorities. The next available change window is being scheduled with network operations.,2026-08-02
M-0070,Internal Audit,IA-2216,Cloud config drift - CRM-Retail storage,High,Overdue,T. Nguyen,US,Payments,Cloud Security,2026-06-29,2026-07-14,,2026-07-30,On Track,,2026-08-02
M-0071,Internal Audit,IA-2217,Critical vulnerability unpatched - DataLake-EMEA,Low,Closed,K. Brooks,US,Retail Banking,Patch Management,2025-04-19,2025-09-09,2025-10-31,,,,2026-08-02
M-0072,Internal Audit,IA-2218,Cloud IAM policy too permissive - Payments Gateway,Medium,RNV,K. Brooks,US,Retail Banking,Cloud Security,2025-02-15,2026-07-03,,2026-07-23,Off Track,"Remediation requires a broader review of the cloud landing zone configuration standard, which is still in progress. An interim compensating control has been implemented in the meantime.",2026-08-02
