Issue_ID,Title,Linked_Finding_ID,Risk_Rating,Status,Region,Business,Risk_Category,Date_Identified,Target_Remediation_Date,Closed_Date,Owner,Analyst,Analyst_Received_Date,Analyst_Decision,Analyst_Decision_Date,Second_Line_Review_Date,Second_Line_Result,Last_Update_Date,Last_Update_Status,Last_Update_Note
EI-0511,Control procedure out of date - App-5581,F-1016,Medium,Open,EMEA,Payments,Governance & Documentation,2025-10-10,2026-12-02,,L. Farrow,F. Nakamura,2025-10-11,Approved,2025-10-14,,,2026-07-27,On Track,
EI-0512,Unsegmented network zone - Wire Transfer Platform,F-1025,Low,In Remediation,EMEA,Payments,Network Security,2026-01-15,2026-07-26,,T. Nguyen,F. Nakamura,2026-01-15,Approved,2026-01-18,,,2026-07-28,Off Track,Firewall rule remediation requires a change window that has been delayed twice due to competing priorities. The next available change window is being scheduled with network operations.
EI-0513,Risk acceptance missing formal approval - App-2210,F-1017,High,Open,EMEA,Technology Infrastructure,Governance & Documentation,2025-05-07,2026-10-11,,D. Whitfield,V. Kowalczyk,2025-05-10,Approved - Sent to 2LOD,2025-05-11,2025-05-12,Pass,2026-07-26,On Track,
EI-0514,Insecure API endpoint identified - CW-118,F-1024,High,Closed,EMEA,Payments,Application Security,2025-10-16,2025-12-07,2025-11-21,D. Whitfield,B. Torres,2025-10-16,Approved - Sent to 2LOD,2025-10-25,2025-10-28,Pass,,,
EI-0515,Stale firewall rules - Core Banking Platform segment,F-1002,Medium,In Remediation,EMEA,Payments,Network Security,2025-11-17,2026-08-08,,T. Nguyen,V. Kowalczyk,2025-11-19,Approved,2025-11-27,,,2026-08-01,On Track,
EI-0516,Critical vulnerability unpatched - CRM-Retail,,Low,Overdue,EMEA,Technology Infrastructure,Patch Management,2025-02-13,2026-03-28,,R. Osei,V. Kowalczyk,2026-04-21,,,,,2026-07-20,Off Track,Patching has been delayed due to an application compatibility test that failed in the last cycle. The vendor has been engaged to provide an updated patch.
EI-0517,Application criticality tier undocumented - DataLake-EMEA,F-1008,High,Overdue,EMEA,Retail Banking,Governance & Documentation,2025-04-17,2026-06-20,,M. Chen,V. Kowalczyk,2025-04-18,Approved - Sent to 2LOD,2025-04-25,2025-04-26,Pass,2026-07-24,On Track,
EI-0518,Cloud IAM policy too permissive - Payments Gateway,,High,Closed,US,Retail Banking,Cloud Security,2026-05-08,2026-07-21,2026-07-18,P. Singh,E. Marsh,2026-05-10,Approved - Sent to 2LOD,2026-05-13,2026-05-16,Pass,,,
EI-0519,Missing MFA on privileged accounts - App-3391,F-1016,High,Open,US,Payments,Access Management,2025-04-25,2026-09-07,,T. Nguyen,E. Marsh,2025-04-25,Approved - Sent to 2LOD,2025-04-27,2025-05-01,Fail,2026-07-29,Off Track,"Remediation is delayed because the new privileged access management tooling has not yet completed procurement. Implementation is expected to begin within 4-6 weeks, which will push the original target date."
EI-0520,Third-party penetration test overdue - Meridian Data Solutions,F-1005,High,Open,EMEA,Technology Infrastructure,Third Party Risk,2025-09-28,2026-11-26,,S. Patel,F. Nakamura,2026-04-15,,,,,2026-08-01,On Track,
EI-0521,Stale firewall rules - Treasury-Sys segment,F-1013,Low,Closed,US,Payments,Network Security,2025-11-23,2026-04-01,2026-05-19,J. Alvarez,E. Marsh,2025-11-24,Approved,2025-11-28,,,,,
EI-0522,Control procedure out of date - Mobile Banking App,F-1022,Low,Closed,US,Retail Banking,Governance & Documentation,2025-12-28,2026-04-08,2026-03-10,M. Chen,F. Nakamura,2025-12-28,Approved,2026-01-04,,,,,
EI-0523,Stale user access not deprovisioned - App-5581,,Low,Open,US,Enterprise,Access Management,2026-05-28,2026-08-21,,P. Singh,E. Marsh,2026-05-28,Approved,2026-06-01,,,2026-07-30,On Track,
EI-0524,Public cloud storage bucket exposure - Wire Transfer Platform,,Medium,Closed,US,Enterprise,Cloud Security,2026-01-04,2026-04-20,2026-06-03,K. Brooks,B. Torres,2026-01-07,Approved,2026-01-16,,,,,
